icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
c0226c,WJA673,Canada,1786489150,1786489150,-68.6484,47.0017,10363.2,False,215.45,300.73,0.0,10515.6,0,2026-08-11 22:59:10+00:00
c07bc7,WJA576,Canada,1786489150,1786489150,-69.6531,45.3847,10668.0,False,258.9,104.15,0.0,10873.74,0,2026-08-11 22:59:10+00:00
c07bca,CGUWV,Canada,1786489130,1786489131,-74.5188,45.0975,251.46,False,30.28,260.22,-1.3,190.5,0,2026-08-11 22:59:10+00:00
c03517,WJA567,Canada,1786489150,1786489150,-74.6543,45.7438,6507.48,False,201.02,275.43,9.75,6614.16,0,2026-08-11 22:59:10+00:00
c07e2c,ACA375,Canada,1786489141,1786489141,-73.7454,45.4588,,True,0.0,177.19,,,0,2026-08-11 22:59:10+00:00
3c4b26,DLH431,Germany,1786489149,1786489150,-72.5176,48.0306,10668.0,False,277.22,71.16,0.0,10782.3,0,2026-08-11 22:59:10+00:00
c01074,ACA68,Canada,1786489150,1786489150,-78.7025,47.7625,11277.6,False,287.12,125.74,-0.33,11437.62,0,2026-08-11 22:59:10+00:00
a9b62c,AAL141,United States,1786489148,1786489150,-64.637,47.2641,10363.2,False,225.54,238.05,0.0,10523.22,0,2026-08-11 22:59:10+00:00
c06a7a,TSC512,Canada,1786488888,1786488888,-73.7546,45.4539,,True,1.03,261.56,,,0,2026-08-11 22:59:10+00:00
c06a35,CGOFS,Canada,1786489147,1786489147,-70.0119,47.3232,8229.6,False,150.74,42.51,-0.33,8343.9,0,2026-08-11 22:59:10+00:00
c021af,CFMTQ,Canada,1786488966,1786488966,-79.8234,45.2462,365.76,False,41.89,335.32,-3.58,289.56,0,2026-08-11 22:59:10+00:00
c058ae,ROU1987,Canada,1786489150,1786489150,-74.5517,45.5006,9753.6,False,203.2,258.46,0.0,9959.34,0,2026-08-11 22:59:10+00:00
c058d0,HYD143,Canada,1786489134,1786489134,-73.7489,45.4731,,True,18.01,208.12,,,0,2026-08-11 22:59:10+00:00
c058bf,ACA847,Canada,1786489150,1786489150,-72.9475,45.7583,3246.12,False,141.54,252.22,-5.85,3276.6,0,2026-08-11 22:59:10+00:00
c02067,MAL7054,Canada,1786489150,1786489150,-73.2947,45.551,12192.0,False,199.84,267.2,0.0,12458.7,0,2026-08-11 22:59:10+00:00
3c4a03,DLH445,Germany,1786489150,1786489150,-58.8858,45.2552,11887.2,False,280.23,73.03,-0.33,12192.0,0,2026-08-11 22:59:10+00:00
44003f,AUA56,Austria,1786489134,1786489141,-73.7518,45.4601,,True,0.06,267.19,,,0,2026-08-11 22:59:10+00:00
70209e,BBC306,Bangladesh,1786489145,1786489145,-62.3605,46.6363,11277.6,False,274.33,95.27,0.33,11498.58,0,2026-08-11 22:59:10+00:00
44012f,AUA2R,Austria,1786489150,1786489150,-74.9962,45.08,11269.98,False,319.69,70.84,-0.33,11567.16,0,2026-08-11 22:59:10+00:00
c0347f,NRL40,Canada,1786489149,1786489150,-75.2721,48.841,10058.4,False,249.7,98.53,-0.33,10104.12,0,2026-08-11 22:59:10+00:00
c0344d,AIE2725,Canada,1786489150,1786489150,-73.3427,49.5528,12192.0,False,233.33,196.0,0.33,12306.3,0,2026-08-11 22:59:10+00:00
ab00d6,DAL152,United States,1786489150,1786489150,-77.8436,45.7672,9448.8,False,265.65,80.3,0.0,9654.54,0,2026-08-11 22:59:10+00:00
c012c7,NRL431,Canada,1786489150,1786489150,-68.181,45.9833,12192.0,False,200.15,271.03,-0.33,12428.22,0,2026-08-11 22:59:10+00:00
c06ccf,PVL8341,Canada,1786489147,1786489147,-70.0496,47.8255,7620.0,False,187.18,42.33,0.33,7726.68,0,2026-08-11 22:59:10+00:00
a75e7e,JIA5112,United States,1786489145,1786489145,-73.7269,45.4719,,True,13.38,42.19,,,0,2026-08-11 22:59:10+00:00
