icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
c06cda,WJA792,Canada,1786489150,1786489150,-76.4099,46.3348,10668.0,False,277.16,99.08,0.0,10866.12,0,2026-08-11 22:59:10+00:00
4bb0e3,THY81D,Turkey,1786489150,1786489150,-65.6052,45.5755,12192.0,False,229.12,239.06,0.0,12443.46,0,2026-08-11 22:59:10+00:00
c07fbf,WJA672,Canada,1786489150,1786489150,-73.1001,46.0679,10668.0,False,269.65,103.35,0.33,10858.5,0,2026-08-11 22:59:10+00:00
0200cb,RAM208M,Morocco,1786489150,1786489150,-71.7076,46.3564,8877.3,False,220.33,230.4,-11.05,9060.18,0,2026-08-11 22:59:10+00:00
c05c24,AIE833,Canada,1786489149,1786489149,-71.488,46.7192,1295.4,False,88.8,217.47,8.78,1249.68,0,2026-08-11 22:59:10+00:00
c06f13,QUE20,Canada,1786488867,1786488883,-78.1924,48.2188,3307.08,False,168.71,292.03,-5.2,3307.08,0,2026-08-11 22:59:10+00:00
c05ab2,WJA842,Canada,1786488963,1786488963,-60.0426,46.1659,137.16,False,70.94,225.88,-1.3,53.34,0,2026-08-11 22:59:10+00:00
406891,BAW221,United Kingdom,1786489150,1786489150,-79.5872,47.8493,13106.4,False,231.01,229.61,-0.33,13342.62,0,2026-08-11 22:59:10+00:00
89644f,UAE34E,United Arab Emirates,1786489150,1786489150,-62.2483,50.6444,10363.2,False,233.32,231.72,0.0,10469.88,0,2026-08-11 22:59:10+00:00
3965a4,AFR010,France,1786489150,1786489150,-65.0658,47.1595,10972.8,False,227.79,226.46,0.0,11140.44,0,2026-08-11 22:59:10+00:00
c010a1,CFGHS,Canada,1786489150,1786489150,-74.617,45.3405,960.12,False,45.24,342.8,-1.3,914.4,0,2026-08-11 22:59:10+00:00
c023bd,ACA832,Canada,1786489150,1786489150,-73.4262,45.3383,4312.92,False,200.14,89.26,4.55,4358.64,0,2026-08-11 22:59:10+00:00
c023ae,ACA886,Canada,1786489150,1786489150,-73.6644,46.0293,11277.6,False,271.16,48.54,0.0,11483.34,0,2026-08-11 22:59:10+00:00
a369be,ENY3602,United States,1786489150,1786489150,-76.358,45.3764,9144.0,False,211.67,252.31,0.0,9372.6,0,2026-08-11 22:59:10+00:00
c06aa9,TSC276,Canada,1786489150,1786489150,-71.7246,45.3822,8488.68,False,237.72,84.54,2.6,8679.18,0,2026-08-11 22:59:10+00:00
c06b60,PNO733,Canada,1786488896,1786488896,-73.4091,45.5239,,True,16.46,45.0,,,0,2026-08-11 22:59:10+00:00
a9b85b,RPA3549,United States,1786489150,1786489150,-75.4849,45.4531,8168.64,False,186.49,264.78,5.85,8359.14,0,2026-08-11 22:59:10+00:00
407994,BAW293,United Kingdom,1786489139,1786489150,-65.1576,48.7993,10972.8,False,233.58,226.07,-0.33,11094.72,0,2026-08-11 22:59:10+00:00
c04052,ROU1995,Canada,1786489150,1786489150,-73.3528,45.667,1630.68,False,131.89,255.31,-6.18,1615.44,0,2026-08-11 22:59:10+00:00
c0799a,TSC690,Canada,1786489149,1786489150,-58.8847,47.1361,11887.2,False,268.0,82.94,-0.33,12123.42,0,2026-08-11 22:59:10+00:00
c06612,NDL432,Canada,1786489150,1786489150,-71.5838,46.6176,6705.6,False,126.29,201.76,0.0,6819.9,0,2026-08-11 22:59:10+00:00
406f78,BAW99,United Kingdom,1786489149,1786489150,-74.288,46.3975,12184.38,False,223.74,245.26,-0.33,12428.22,0,2026-08-11 22:59:10+00:00
394a09,AFR348F,France,1786489150,1786489150,-65.2412,50.9257,11582.4,False,238.99,228.14,0.0,11681.46,0,2026-08-11 22:59:10+00:00
c064c1,CGMEA,Canada,1786489150,1786489150,-73.4029,45.528,121.92,False,44.47,228.75,-2.93,30.48,0,2026-08-11 22:59:10+00:00
a91b44,UAL929,United States,1786489121,1786489121,-78.9099,48.7304,10058.4,False,244.46,41.84,0.33,10142.22,0,2026-08-11 22:59:10+00:00
c052d5,WJA2915,Canada,1786489026,1786489026,-73.7568,45.4645,,True,6.43,199.69,,,0,2026-08-11 22:59:10+00:00
4ba956,THY1GJ,Turkey,1786489149,1786489150,-67.0482,49.751,10972.8,False,233.63,238.69,0.0,11056.62,0,2026-08-11 22:59:10+00:00
c00e9d,ACA1138,Canada,1786489149,1786489150,-71.5174,46.841,1775.46,False,134.88,48.71,-3.25,1752.6,0,2026-08-11 22:59:10+00:00
c075cd,AIE754,Canada,1786489150,1786489150,-72.7602,45.8709,3947.16,False,157.42,230.17,-8.45,3977.64,0,2026-08-11 22:59:10+00:00
c00e15,ACA697,Canada,1786489150,1786489150,-75.4262,45.4034,9753.6,False,201.26,255.64,0.0,9966.96,0,2026-08-11 22:59:10+00:00
c0653d,ACA955,Canada,1786489150,1786489150,-73.5694,45.1104,3299.46,False,142.44,355.44,-5.85,3345.18,0,2026-08-11 22:59:10+00:00
c05219,ROU2017,Canada,1786489150,1786489150,-69.8004,45.7659,9151.62,False,223.21,263.38,0.0,9326.88,0,2026-08-11 22:59:10+00:00
c050ae,ACA759,Canada,1786489150,1786489150,-77.2476,46.1,9144.0,False,212.49,280.6,0.0,9334.5,0,2026-08-11 22:59:10+00:00
c04453,WJA590,Canada,1786489149,1786489150,-77.9207,46.8061,10668.0,False,268.1,108.23,0.0,10843.26,0,2026-08-11 22:59:10+00:00
c055b1,CGGLS,Canada,1786489150,1786489150,-73.2558,45.2297,1722.12,False,67.52,93.49,0.33,1706.88,0,2026-08-11 22:59:10+00:00
c04592,CGAIZ,Canada,1786488899,1786488900,-74.522,45.0939,304.8,False,30.46,344.32,-1.95,251.46,0,2026-08-11 22:59:10+00:00
c0583f,ACA866,Canada,1786489147,1786489147,-73.7325,45.4675,,True,9.77,42.19,,,0,2026-08-11 22:59:10+00:00
c0583a,ACA836,Canada,1786489150,1786489150,-72.013,46.7112,11254.74,False,263.7,62.34,1.3,11422.38,0,2026-08-11 22:59:10+00:00
407f19,VIR137Y,United Kingdom,1786489149,1786489150,-63.1469,48.3924,12192.0,False,237.16,235.52,0.0,12359.64,0,2026-08-11 22:59:10+00:00
407dc5,VIR21K,United Kingdom,1786489148,1786489149,-65.9751,48.1388,11582.4,False,225.33,230.09,0.0,11727.18,0,2026-08-11 22:59:10+00:00
c066b6,WJA593,Canada,1786489150,1786489150,-64.3803,45.0777,6156.96,False,173.41,292.69,9.43,6271.26,0,2026-08-11 22:59:10+00:00
c066f4,ACA336,Canada,1786489150,1786489150,-78.7551,47.0791,11277.6,False,268.25,111.84,-0.33,11468.1,0,2026-08-11 22:59:10+00:00
4cc577,ICE649,Iceland,1786489142,1786489147,-61.6009,52.2017,11582.4,False,221.69,222.84,-0.33,11681.46,0,2026-08-11 22:59:10+00:00
c054f3,CGGEK,Canada,1786489150,1786489150,-74.1287,45.4716,320.04,False,46.85,301.07,0.0,251.46,0,2026-08-11 22:59:10+00:00
4b187d,SWR52,Switzerland,1786489149,1786489150,-65.1645,47.0902,12192.0,False,229.62,226.54,0.0,12405.36,0,2026-08-11 22:59:10+00:00
c082a4,CGXMH,Canada,1786489150,1786489150,-73.0525,45.9806,487.68,False,53.29,120.77,0.0,434.34,0,2026-08-11 22:59:10+00:00
c082c2,PVL7705,Canada,1786489139,1786489139,-61.547,46.7909,7322.82,False,162.66,235.96,-0.33,7482.84,0,2026-08-11 22:59:10+00:00
495306,TAP215,Portugal,1786489150,1786489150,-63.7939,45.4982,10370.82,False,206.07,245.67,0.0,10599.42,0,2026-08-11 22:59:10+00:00
495304,TAP211,Portugal,1786489150,1786489150,-64.7818,45.2119,10355.58,False,201.78,244.15,-0.33,10599.42,0,2026-08-11 22:59:10+00:00
4951ee,TAP203,Portugal,1786489143,1786489144,-62.7015,45.8945,12192.0,False,222.63,245.57,0.0,12466.32,0,2026-08-11 22:59:10+00:00
c0853f,ACA758,Canada,1786489149,1786489150,-79.2068,46.3552,11277.6,False,293.72,93.31,0.0,11506.2,0,2026-08-11 22:59:10+00:00
3c6573,DLH449,Germany,1786489140,1786489140,-71.3092,47.7489,11887.2,False,267.52,72.89,-0.33,12031.98,0,2026-08-11 22:59:10+00:00
4080c0,BAW37J,United Kingdom,1786489150,1786489150,-68.6002,45.9041,12184.38,False,243.15,210.8,0.33,12420.6,0,2026-08-11 22:59:10+00:00
3c64f8,DLH420,Germany,1786489150,1786489150,-68.5586,45.4486,11582.4,False,229.41,203.81,0.0,11811.0,0,2026-08-11 22:59:10+00:00
a913d6,UAL135,United States,1786489150,1786489150,-69.002,46.4039,11582.4,False,208.47,235.76,-0.33,11765.28,0,2026-08-11 22:59:10+00:00
c080a4,WJA610,Canada,1786489114,1786489114,-75.6298,45.2977,274.32,False,65.85,306.42,-3.58,243.84,0,2026-08-11 22:59:10+00:00
484445,KLM204,Kingdom of the Netherlands,1786489149,1786489149,-65.1848,49.1905,11460.48,False,263.55,61.68,2.6,11574.78,0,2026-08-11 22:59:10+00:00
c0816d,AIE803,Canada,1786489150,1786489150,-74.5465,47.4,7010.4,False,143.75,166.76,0.0,7117.08,0,2026-08-11 22:59:10+00:00
4a91af,SAS950,Sweden,1786489150,1786489150,-70.6674,47.1843,10050.78,False,260.67,63.38,0.33,10195.56,0,2026-08-11 22:59:10+00:00
4a91b3,SAS924,Sweden,1786489148,1786489150,-65.6662,45.9863,10058.4,False,255.37,44.67,0.33,10264.14,0,2026-08-11 22:59:10+00:00
c01a7d,ACA874,Canada,1786489150,1786489150,-73.772,45.2075,3337.56,False,168.41,153.51,12.35,3352.8,0,2026-08-11 22:59:10+00:00
a05648,UAL944,United States,1786489139,1786489139,-62.4067,50.3725,10660.38,False,269.38,61.23,0.0,10774.68,0,2026-08-11 22:59:10+00:00
a05626,UAL970,United States,1786489150,1786489150,-73.9235,47.658,10668.0,False,279.16,71.63,-0.33,10797.54,0,2026-08-11 22:59:10+00:00
49526b,RZO329,Portugal,1786489150,1786489150,-61.1142,45.0308,10363.2,False,200.32,276.34,-0.33,10629.9,0,2026-08-11 22:59:10+00:00
4ca9ba,EIN1PR,Ireland,1786489150,1786489150,-63.1735,46.3898,10058.4,False,249.85,63.59,0.0,10256.52,0,2026-08-11 22:59:10+00:00
0a00cd,DAH2701,Algeria,1786489149,1786489150,-60.0968,46.9899,11277.6,False,269.75,92.08,0.0,11483.34,0,2026-08-11 22:59:10+00:00
c0824e,CGXIZ,Canada,1786489150,1786489150,-75.3233,45.6852,1127.76,False,51.94,33.69,0.0,1089.66,0,2026-08-11 22:59:10+00:00
4841ad,KLM695,Kingdom of the Netherlands,1786489150,1786489150,-77.8352,45.351,7970.52,False,185.93,226.23,-5.85,12100.56,0,2026-08-11 22:59:10+00:00
c01ec5,PTR2431,Canada,1786489052,1786489055,-58.328,46.3435,7620.0,False,201.41,70.92,-0.33,7810.5,0,2026-08-11 22:59:10+00:00
c060bd,POE182,Canada,1786489150,1786489150,-79.9119,47.349,11277.6,False,270.35,110.26,0.33,11445.24,0,2026-08-11 22:59:10+00:00
c060bc,POE392,Canada,1786489150,1786489150,-73.1926,45.7053,952.5,False,105.19,183.93,0.33,906.78,0,2026-08-11 22:59:10+00:00
c060bf,POE294,Canada,1786489150,1786489150,-79.5198,46.702,11887.2,False,259.18,111.42,0.33,12115.8,0,2026-08-11 22:59:10+00:00
c060bb,POE448,Canada,1786489150,1786489150,-78.9278,46.5303,10668.0,False,273.06,110.86,0.0,10850.88,0,2026-08-11 22:59:10+00:00
c060c3,POE236,Canada,1786489143,1786489148,-65.8535,47.158,10972.8,False,202.65,260.06,0.0,11125.2,0,2026-08-11 22:59:10+00:00
c0617a,POE375,Canada,1786489150,1786489150,-76.4193,46.078,10949.94,False,168.92,297.97,-5.2,11148.06,0,2026-08-11 22:59:10+00:00
c01f10,CFLTV,Canada,1786489150,1786489150,-74.8616,45.1262,1120.14,False,37.94,319.4,1.95,1082.04,0,2026-08-11 22:59:10+00:00
c0619b,POE472,Canada,1786489150,1786489150,-74.9546,45.4443,9144.0,False,214.19,258.5,-0.33,9326.88,0,2026-08-11 22:59:10+00:00
c06197,POE143,Canada,1786489150,1786489150,-73.3031,45.5925,632.46,False,82.47,236.71,-3.25,579.12,0,2026-08-11 22:59:10+00:00
c1e478,VTP191,Canada,1786489023,1786489023,-73.753,45.4595,,True,4.89,210.94,,,0,2026-08-11 22:59:10+00:00
c06193,POE258,Canada,1786489150,1786489150,-70.3591,47.5518,9144.0,False,205.01,248.2,0.0,9243.06,0,2026-08-11 22:59:10+00:00
c1e639,,Canada,1786489046,1786489046,-73.7454,45.457,,True,10.29,236.25,,,0,2026-08-11 22:59:10+00:00
c06365,PTR2526,Canada,1786489150,1786489150,-75.4163,45.1696,6705.6,False,169.13,234.91,0.0,6865.62,0,2026-08-11 22:59:10+00:00
c0635a,PTR2497,Canada,1786489150,1786489150,-74.6142,45.2589,6461.76,False,166.5,73.3,5.2,6614.16,0,2026-08-11 22:59:10+00:00
c06358,PTR2368,Canada,1786489149,1786489149,-68.9683,45.9395,7315.2,False,159.48,265.37,0.65,7459.98,0,2026-08-11 22:59:10+00:00
c1e4b5,ESC736,Canada,1786489150,1786489150,-73.6627,45.5074,,True,2.83,19.69,,,0,2026-08-11 22:59:10+00:00
c061a2,POE256,Canada,1786489065,1786489065,-73.7455,45.4574,,True,1.29,261.56,,,0,2026-08-11 22:59:10+00:00
c00d7d,LSJ613,Canada,1786489150,1786489150,-71.1541,46.9456,1280.16,False,124.88,237.62,0.0,1249.68,0,2026-08-11 22:59:10+00:00
c00d10,PRO4700M,Canada,1786489150,1786489150,-76.3221,46.7253,4312.92,False,106.21,308.31,-0.33,4381.5,0,2026-08-11 22:59:10+00:00
c1e587,SER444,Canada,1786488887,1786488887,-73.7364,45.486,,True,18.52,42.19,,,0,2026-08-11 22:59:10+00:00
c07321,CGRPO,Canada,1786488954,1786488960,-73.4075,45.5152,,True,0.06,225.0,,,0,2026-08-11 22:59:10+00:00
c071db,CGRDA,Canada,1786489147,1786489147,-73.0437,45.0561,1127.76,False,47.37,98.75,-0.33,,0,2026-08-11 22:59:10+00:00
c00a85,CFDZO,Canada,1786489012,1786489125,-72.1092,46.8202,2499.36,False,78.91,219.71,-2.6,2423.16,0,2026-08-11 22:59:10+00:00
c01d92,CFLFD,Canada,1786489150,1786489150,-72.9749,45.9023,502.92,False,73.26,233.85,0.0,426.72,0,2026-08-11 22:59:10+00:00
a8e60e,AMF1545,United States,1786489141,1786489141,-69.4078,45.181,3139.44,False,104.96,216.03,0.0,3154.68,0,2026-08-11 22:59:10+00:00
c084a3,ACA422,Canada,1786489150,1786489150,-74.1429,45.324,3200.4,False,163.4,58.91,-2.93,3230.88,0,2026-08-11 22:59:10+00:00
4ca782,EIN13K,Ireland,1786489103,1786489107,-57.8624,45.4701,11277.6,False,269.59,73.71,0.33,11551.92,0,2026-08-11 22:59:10+00:00
c08561,CGYNG,Canada,1786489090,1786489090,-74.8108,45.0705,601.98,False,83.97,107.1,-2.6,556.26,0,2026-08-11 22:59:10+00:00
4ca5c7,EIN1MN,Ireland,1786489149,1786489150,-68.5993,47.5761,11277.6,False,255.02,44.26,0.0,11422.38,0,2026-08-11 22:59:10+00:00
c085aa,CGYQB,Canada,1786489147,1786489150,-72.9259,45.4256,1036.32,False,26.24,358.88,-0.33,,0,2026-08-11 22:59:10+00:00
4ca615,EIN122,Ireland,1786489150,1786489150,-65.2698,45.634,11887.2,False,268.81,61.91,0.0,12123.42,0,2026-08-11 22:59:10+00:00
c04c84,CGCZJ,Canada,1786489150,1786489150,-73.1247,46.1326,548.64,False,48.42,47.15,-0.33,487.68,0,2026-08-11 22:59:10+00:00
4d0113,CLX11Z,Luxembourg,1786489150,1786489150,-59.3983,46.809,11902.44,False,273.51,68.6,-0.33,12123.42,0,2026-08-11 22:59:10+00:00
c04af4,JZA111,Canada,1786489150,1786489150,-76.7517,46.2001,8427.72,False,195.13,297.65,5.85,8610.6,0,2026-08-11 22:59:10+00:00
c04ae9,CGCJO,Canada,1786489150,1786489150,-73.3999,45.4948,396.24,False,46.23,42.75,-0.33,,0,2026-08-11 22:59:10+00:00
a8ac35,UAL3,United States,1786489096,1786489096,-70.2365,48.3654,10668.0,False,266.31,69.53,-0.33,10759.44,0,2026-08-11 22:59:10+00:00
c0173f,ACA859,Canada,1786489150,1786489150,-73.4883,48.4585,10972.8,False,234.63,225.09,0.0,11056.62,0,2026-08-11 22:59:10+00:00
a74ecc,DAL160,United States,1786489150,1786489150,-69.8839,47.7412,11894.82,False,281.24,85.49,0.0,12039.6,0,2026-08-11 22:59:10+00:00
ac5fd6,FDX92,United States,1786489147,1786489149,-60.3388,47.8563,11277.6,False,267.17,80.36,0.0,11445.24,0,2026-08-11 22:59:10+00:00
48ae25,LOT15K,Poland,1786489147,1786489148,-64.6601,50.54,12184.38,False,243.68,231.17,-0.33,12321.54,0,2026-08-11 22:59:10+00:00
485e2e,KLM48,Kingdom of the Netherlands,1786489143,1786489149,-71.257,47.685,11269.98,False,277.82,69.85,-0.33,11414.76,0,2026-08-11 22:59:10+00:00
a06310,FDX5051,United States,1786489150,1786489150,-69.8814,45.9496,11277.6,False,265.04,63.73,0.0,11475.72,0,2026-08-11 22:59:10+00:00
c05edd,ACA7114,Canada,1786489124,1786489130,-74.0309,45.6779,,True,0.13,98.44,,,0,2026-08-11 22:59:10+00:00
c05ed8,ACA1157,Canada,1786489150,1786489150,-73.5331,45.633,952.5,False,104.63,246.84,-0.33,914.4,0,2026-08-11 22:59:10+00:00
c05d94,PRO4100M,Canada,1786489150,1786489150,-76.9803,47.1417,4312.92,False,103.13,311.56,0.0,4373.88,0,2026-08-11 22:59:10+00:00
c014e0,ACA1071,Canada,1786489150,1786489150,-73.7491,45.4508,403.86,False,77.29,218.24,12.03,335.28,0,2026-08-11 22:59:10+00:00
c027a8,PVL7691,Canada,1786488967,1786488969,-75.626,45.2958,297.18,False,65.25,305.7,-3.25,243.84,0,2026-08-11 22:59:10+00:00
c05bcb,ACA345,Canada,1786489150,1786489150,-77.5493,46.3529,7696.2,False,215.61,291.85,3.9,7863.84,0,2026-08-11 22:59:10+00:00
c0150d,ACA513,Canada,1786489149,1786489150,-73.8288,45.3851,1097.28,False,117.8,242.99,7.15,1066.8,0,2026-08-11 22:59:10+00:00
c015c9,BBA535,Canada,1786489150,1786489150,-78.8072,45.1179,11277.6,False,219.31,189.04,0.33,11582.4,0,2026-08-11 22:59:10+00:00
3c7a54,CFG039,Germany,1786488989,1786488990,-57.8673,45.4694,11887.2,False,268.95,73.78,0.0,12169.14,0,2026-08-11 22:59:10+00:00
c05cae,,Canada,1786489140,1786489140,-69.9919,47.5647,6088.38,False,123.47,222.13,0.0,6156.96,0,2026-08-11 22:59:10+00:00
c04a7f,CGCFM,Canada,1786489150,1786489150,-73.2086,45.157,2164.08,False,122.96,90.72,0.0,2179.32,0,2026-08-11 22:59:10+00:00
c03bf2,WJA691,Canada,1786489150,1786489150,-79.7323,48.4318,10972.8,False,200.41,295.71,0.0,11102.34,0,2026-08-11 22:59:10+00:00
39c494,FBU91S,France,1786489150,1786489150,-62.5764,50.6747,12192.0,False,239.86,240.3,0.0,12313.92,0,2026-08-11 22:59:10+00:00
39c495,FBU72J,France,1786489115,1786489130,-65.4005,48.0318,12192.0,False,234.14,236.38,0.0,12352.02,0,2026-08-11 22:59:10+00:00
39d2a8,AFR357E,France,1786489150,1786489150,-74.4732,45.1809,11887.2,False,310.3,77.55,0.33,12161.52,0,2026-08-11 22:59:10+00:00
c04caa,CGDAV,Canada,1786488887,1786488919,-74.5941,46.1556,754.38,False,40.39,316.55,-3.58,716.28,0,2026-08-11 22:59:10+00:00
c01968,,Canada,1786489029,1786489029,-73.7603,45.4581,,True,4.63,168.75,,,0,2026-08-11 22:59:10+00:00
c00637,AIE855,Canada,1786489150,1786489150,-73.6935,45.5157,350.52,False,72.06,223.26,-2.28,281.94,0,2026-08-11 22:59:10+00:00
c0064c,JZA565,Canada,1786489136,1786489136,-73.7204,45.4768,,True,14.4,42.19,,,0,2026-08-11 22:59:10+00:00
c05fba,CGKGN,Canada,1786489149,1786489150,-76.1492,45.2659,10972.8,False,175.88,257.67,0.0,11224.26,0,2026-08-11 22:59:10+00:00
a35c0b,00000000,United States,1786489141,1786489141,-74.0311,45.6771,,True,0.0,98.44,,,0,2026-08-11 22:59:10+00:00
c006db,CFCPM,Canada,1786489150,1786489150,-73.6948,45.8934,2225.04,False,62.01,76.08,8.13,2209.8,0,2026-08-11 22:59:10+00:00
c006fe,CRQ220,Canada,1786489061,1786489061,-76.5764,47.345,5234.94,False,134.49,131.43,0.0,5280.66,0,2026-08-11 22:59:10+00:00
c04f19,CGDYU,Canada,1786489150,1786489150,-73.2592,45.6068,312.42,False,36.76,316.7,3.9,251.46,0,2026-08-11 22:59:10+00:00
3c66c1,DLH4J,Germany,1786488863,1786488934,-73.7603,45.458,,True,2.06,168.75,,,0,2026-08-11 22:59:10+00:00
3481d5,LOT4TL,Spain,1786489149,1786489150,-67.5471,47.8053,11582.4,False,238.5,208.61,0.0,11750.04,0,2026-08-11 22:59:10+00:00
