icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
4cabec,EIN107,Ireland,1786486656,1786486657,-67.9505,45.2058,11582.4,False,219.64,227.94,0.0,11818.62,0,2026-08-11 22:17:37+00:00
c008a9,ACA667,Canada,1786486657,1786486657,-73.4238,45.7179,1661.16,False,104.54,233.81,-4.55,1653.54,0,2026-08-11 22:17:37+00:00
c04fd7,ACA306,Canada,1786486657,1786486657,-77.0616,46.3111,10668.0,False,277.63,98.31,0.0,10888.98,0,2026-08-11 22:17:37+00:00
c04fbb,ACA840,Canada,1786486654,1786486657,-66.8688,46.8928,11277.6,False,269.8,81.0,0.0,11452.86,0,2026-08-11 22:17:37+00:00
39c420,AFR343,France,1786486657,1786486657,-67.2662,48.0406,11269.98,False,276.62,76.12,-0.33,11414.76,0,2026-08-11 22:17:37+00:00
c005c5,ACA357,Canada,1786486657,1786486657,-75.8057,45.3949,1127.76,False,134.83,320.42,14.31,1082.04,0,2026-08-11 22:17:37+00:00
c00679,CRQ5873,Canada,1786486657,1786486657,-72.2564,46.1171,4945.38,False,121.31,233.28,0.0,4983.48,0,2026-08-11 22:17:37+00:00
c01968,ROU1883,Canada,1786486657,1786486657,-73.6852,45.5219,381.0,False,75.37,222.51,-3.58,327.66,0,2026-08-11 22:17:37+00:00
c00637,AIE855,Canada,1786486657,1786486657,-71.3477,46.7275,4358.64,False,105.32,214.85,0.0,4358.64,0,2026-08-11 22:17:37+00:00
c05fba,CGKGN,Canada,1786486657,1786486657,-69.9697,45.6818,12192.0,False,207.37,268.72,-0.33,12412.98,0,2026-08-11 22:17:37+00:00
a35c0b,00000000,United States,1786486641,1786486641,-74.0311,45.6771,,True,0.0,98.44,,,0,2026-08-11 22:17:37+00:00
3c66c1,DLH4J,Germany,1786486657,1786486657,-71.8178,46.3796,8001.0,False,197.53,224.68,-3.25,8145.78,0,2026-08-11 22:17:37+00:00
a1d546,UAL925,United States,1786486656,1786486657,-70.4027,45.2566,11582.4,False,226.52,230.34,0.33,11826.24,0,2026-08-11 22:17:37+00:00
3481d5,LOT4TL,Spain,1786486654,1786486654,-63.3367,52.4496,11582.4,False,237.7,211.73,0.33,11673.84,0,2026-08-11 22:17:37+00:00
